outlet,headline,category,date,vader_score,vader_label,bert_score,bert_label,agreement,human_label,bias_axis_score
CNET,OpenAI Says It's Working With Actors to Crack Down on Celebrity Deepfakes in Sora,Tech,2025-10-20 20:39:00+00:00,0,neutral,-1,negative,disagree,,
CNET,Google Announces New Veo 3 AI Video Model Amid Sora Hype,Tech,2025-10-15 17:35:00+00:00,1,positive,1,positive,agree,,
CNET,Instagram Gets New Generative AI Features. What to Know and How to Use Them,Tech,2025-10-23 21:21:19+00:00,0,neutral,-1,negative,disagree,,
CNET,"AI Is Eating the Internet, but Many Are Hopeful Human-Made Content Will Win Out",Tech,2025-10-11 13:05:02+00:00,1,positive,1,positive,agree,,
CNET,Waymo's Robotaxis Are Heading to London. Everything to Know About the Self-Driving Service,Tech,2025-10-15 09:00:04+00:00,0,neutral,1,positive,disagree,,
CNET,Fix Wi-Fi Dead Spots: How to Get Internet Throughout Your Home,Tech,2025-10-23 23:30:00+00:00,-1,negative,-1,negative,agree,,
CNET,OpenAI Is Launching an AI Web Browser Called ChatGPT Atlas,Tech,2025-10-21 17:01:02+00:00,0,neutral,-1,negative,disagree,,
CNET,OpenAI Plans to Allow Erotica and Change Mental Health Restrictions for Adult Users,Tech,2025-10-15 20:51:20+00:00,1,positive,-1,negative,disagree,,
CNET,I Tried Making a Halloween Events Calendar by Vibe Coding With AI. Here's What Happened,Tech,2025-10-27 19:26:27+00:00,1,positive,1,positive,agree,,
CNET,"Create the Perfect AI Image: Image Generator Tips for OpenAI, Google and Canva",Tech,2025-10-22 11:00:09+00:00,1,positive,-1,negative,disagree,,
CNET,I Didn't Snap This Photo at a Coffee Shop — Microsoft's New AI Tool Created It,Tech,2025-10-14 20:02:34+00:00,1,positive,-1,negative,disagree,,
CNET,'Tron: Ares' Review: Possibly the Best 'Tron' Movie Ever Made,Tech,2025-10-07 17:41:00+00:00,1,positive,1,positive,agree,,
CNET,"A TV Stunt Posed the Right Questions About AI and Jobs, and Failed to Answer Any",Tech,2025-10-28 15:13:29+00:00,-1,negative,-1,negative,agree,,
CNET,Slack Is Transforming Slackbot Into an AI Assistant,Tech,2025-10-13 23:30:00+00:00,1,positive,-1,negative,disagree,,
CNET,Should AI Superintelligence Research Continue? Why These Public Figures Want a Pause,Tech,2025-10-29 20:57:09+00:00,1,positive,-1,negative,disagree,,
CNET,"Character.AI to Teens: Sorry, No More Open-Ended Chats With AI Companions",Tech,2025-10-29 13:00:00+00:00,1,positive,-1,negative,disagree,,
CNET,"Agentic AI Is Here to Improve Your Life, You Just Have to Believe in It",Tech,2025-10-17 20:16:00+00:00,1,positive,-1,negative,disagree,,
CNET,No Invite? No Problem. You Can Now Join Sora Without an Access Code in the US,Tech,2025-10-30 14:30:00+00:00,-1,negative,-1,negative,agree,,
CNET,OpenAI Will Loosen ChatGPT's Mental Health Guardrails and Allow Erotica for Adult Users,Tech,2025-10-14 19:41:12+00:00,1,positive,1,positive,agree,,
CNET,OpenAI Partners With Broadcom To Deploy Custom AI Chips,Tech,2025-10-13 21:05:42+00:00,0,neutral,-1,negative,disagree,,
CNET,New California Law Wants Companion Chatbots to Tell Kids to Take Breaks,Tech,2025-10-13 20:54:27+00:00,0,neutral,-1,negative,disagree,,
CNET,"If You Want Better AI Images, You Need to Use These Key Ingredients in Your Prompt",Tech,2025-10-07 15:49:16+00:00,1,positive,-1,negative,disagree,,
CNET,Microsoft's Push Into Agentic AI Begins With 'Hey Copilot' Voice Assistant in Windows 11,Tech,2025-10-16 19:20:40+00:00,0,neutral,1,positive,disagree,,
CNET,AI Is Fighting AI When It Comes to Appealing Health Insurance Denials,Tech,2025-10-19 12:05:02+00:00,-1,negative,-1,negative,agree,,
CNET,OpenAI's Sora Is Now the No. 1 Free iPhone App. Get Ready for Lots More AI Slop,Tech,2025-10-03 17:43:11+00:00,1,positive,-1,negative,disagree,,
Forbes,These Billionaires Have Gotten $450 Billion Richer From Striking AI Infrastructure Deals For Their Own Firms,Business,2025-10-09 10:30:00+00:00,1,positive,-1,negative,disagree,,
Forbes,5 Strategic AI Tensions That Define The Future Of The Enterprise,Business,2025-10-06 13:00:00+00:00,-1,negative,1,positive,disagree,,
Forbes,An AI Boom Is Catapulting Markets And Raising Fears A Bubble Is Near,Business,2025-10-28 10:00:00+00:00,-1,negative,1,positive,disagree,,
Forbes,AI Video Startup Synthesia Valued At $4 Billion In New $200 Million Raise,Business,2025-10-29 14:41:03+00:00,1,positive,1,positive,agree,,
Forbes,Storage And Memory Price Surges Supporting AI Demand Likely Temporary,Business,2025-10-10 17:00:59+00:00,1,positive,-1,negative,disagree,,
Forbes,AlphaSense Just Hit $500m ARR And Is Betting It All On Agentic AI,Business,2025-10-08 13:30:00+00:00,1,positive,-1,negative,disagree,,
Forbes,"Cerebras, Groq And SambaNova Line Up To Compete With Nvidia",Business,2025-10-21 17:54:29+00:00,0,neutral,1,positive,disagree,,
Forbes,3 AI Certifications You Need To Put On Your Resume In 2025,Business,2025-10-08 11:45:35+00:00,-1,negative,-1,negative,agree,,
Forbes,OpenAI’s Next Bet: Intel Stock?,Business,2025-10-08 12:46:26+00:00,1,positive,-1,negative,disagree,,
Forbes,The 8 AI Agent Trends For 2026 Everyone Must Be Ready For Now,Business,2025-10-08 05:33:29+00:00,1,positive,1,positive,agree,,
Forbes,Mira Murati’s Thinking Machines Lab Unveils New AI Tinker Product Which Is Useful But Not A Big-Time Blockbuster,Business,2025-10-03 08:44:24+00:00,-1,negative,-1,negative,agree,,
Forbes,AI Chips For The Future,Business,2025-11-01 01:47:51+00:00,0,neutral,1,positive,disagree,,
Forbes,Inside Adobe’s AI Strategy: Can It Outpace Rivals In The Creative AI Race?,Business,2025-10-28 12:00:02+00:00,1,positive,-1,negative,disagree,,
Forbes,MIT’s SAIpien Pushes For AI That Boards Can Actually Audit,Business,2025-10-23 16:57:22+00:00,1,positive,-1,negative,disagree,,
Forbes,Does Your Organization Have An AI Strategy?,Business,2025-10-17 11:15:00+00:00,-1,negative,-1,negative,agree,,
Forbes,The Haunting Story Of AI That’s Been Dumped Into The AGI Graveyard But Might Get Remarkably Resurrected,Business,2025-10-29 07:15:00+00:00,-1,negative,-1,negative,agree,,
Forbes,Two Faces Of Freedom: Why Liberalism Needs A Reboot In The Age Of AI,Business,2025-10-23 18:58:10+00:00,1,positive,1,positive,agree,,
Forbes,"How Medellín, Colombia Became One Of 2026’s Top Travel Destinations—And What’s Next For The ‘City Of Eternal Spring’",Business,2025-10-28 01:23:06+00:00,1,positive,1,positive,agree,,
Forbes,How Agentic Orchestration Determines AI Autonomy,Business,2025-10-07 23:08:13+00:00,1,positive,1,positive,agree,,
Forbes,Prompt Engineering Is Dipping Into Those Newly Released ChatGPT Work-Boosting Prompting Packages,Business,2025-10-23 07:15:00+00:00,1,positive,1,positive,agree,,
Forbes,Blending The Human/AI Workforce: OpenAI’s Operator & AI Jobs Platform,Business,2025-10-03 22:12:59+00:00,0,neutral,1,positive,disagree,,
Forbes,AI Porn Is Coming To ChatGPT In December,Business,2025-10-15 16:53:24+00:00,1,positive,1,positive,agree,,
Forbes,Our Generation’s Choice: Your Country’s AI Strategy Can Change Everything,Business,2025-10-28 19:39:08+00:00,0,neutral,1,positive,disagree,,
Forbes,Anyscale Transfers Ray To PyTorch Foundation,Business,2025-10-24 06:07:32+00:00,0,neutral,-1,negative,disagree,,
Forbes,3 ChatGPT Prompts To Boost Your Salary Up To 47% In 2026,Business,2025-10-19 17:21:20+00:00,1,positive,-1,negative,disagree,,
Fox News,Fox News AI Newsletter: Dems demand 'robot tax',Political,2025-10-11 12:30:52+00:00,1,positive,1,positive,agree,,
Fox News,AI jobs that pay $200K or more,Political,2025-10-21 20:00:49+00:00,-1,negative,1,positive,disagree,,
Fox News,Beware fake credit card account restriction scams,Political,2025-10-27 18:14:22+00:00,-1,negative,-1,negative,agree,,
Fox News,Ohio lawmaker proposes comprehensive ban on marrying AI systems and granting legal personhood,Political,2025-10-22 17:04:55+00:00,1,positive,-1,negative,disagree,,
Fox News,Meta AI edits your camera roll for better Facebook posts,Political,2025-10-27 16:21:31+00:00,1,positive,-1,negative,disagree,,
Fox News,Police agencies turn to virtual reality to improve split-second decision-making,Political,2025-10-23 08:06:55+00:00,1,positive,-1,negative,disagree,,
Fox News,Microsoft sounds alarm as hackers turn Teams platform into 'real-world dangers' for users,Political,2025-10-17 12:10:48+00:00,-1,negative,-1,negative,agree,,
Fox News,AI flaw leaked Gmail data before OpenAI patch,Political,2025-10-18 15:00:27+00:00,-1,negative,-1,negative,agree,,
Fox News,Leaked Meta documents show how AI chatbots handle child exploitation,Political,2025-10-06 10:48:18+00:00,-1,negative,-1,negative,agree,,
Fox News,How to spot and stop AI phishing scams,Political,2025-10-14 15:00:50+00:00,-1,negative,-1,negative,agree,,
Fox News,Fox News AI Newsletter: Trump order harnesses AI to fight childhood cancer,Political,2025-10-04 12:30:59+00:00,-1,negative,-1,negative,agree,,
The Verge,These nonprofits lobbied to regulate OpenAI — then the subpoenas came,Tech,2025-10-20 13:52:14+00:00,1,positive,-1,negative,disagree,,
The Verge,Google’s AI bounty program pays bug hunters up to $30K,Tech,2025-10-06 20:24:53+00:00,1,positive,-1,negative,disagree,,
The Verge,Google Earth’s expanded AI features make it easier to ask it questions,Tech,2025-10-23 15:09:00+00:00,1,positive,1,positive,agree,,
The Verge,Oreo-maker Mondelez will use AI for TV ads next year,Tech,2025-10-24 12:43:52+00:00,-1,negative,-1,negative,agree,,
The Verge,Elon Musk’s Grokipedia contains copied Wikipedia pages,Tech,2025-10-28 00:46:59+00:00,1,positive,1,positive,agree,,
The Verge,Senators propose banning teens from using AI chatbots,Tech,2025-10-28 22:42:04+00:00,-1,negative,-1,negative,agree,,
The Verge,Amazon claims the headline isn’t robots taking jobs as it reveals new cost-cutting robots,Tech,2025-10-23 00:51:34+00:00,1,positive,-1,negative,disagree,,
The Verge,The ChatGPT Atlas browser still feels like Googling with extra steps,Tech,2025-10-23 12:29:12+00:00,1,positive,-1,negative,disagree,,
The Verge,EA partners with Stability AI for ‘transformative’ AI game-making tools,Tech,2025-10-23 20:23:53+00:00,1,positive,1,positive,agree,,
The Verge,1Password says it can fix login security for AI browser agents,Tech,2025-10-08 19:44:30+00:00,1,positive,-1,negative,disagree,,
The Verge,"Anthropic connects Claude to Microsoft Teams, Outlook, and OneDrive",Tech,2025-10-17 08:53:02+00:00,0,neutral,-1,negative,disagree,,
The Verge,PUBG maker Krafton is turning into an ‘AI first’ developer,Tech,2025-10-23 18:06:43+00:00,1,positive,1,positive,agree,,
The Verge,Microsoft is moving GitHub over to Azure servers,Tech,2025-10-08 15:51:24+00:00,-1,negative,-1,negative,agree,,
The Verge,Adobe Max 2025: all the latest creative tools and AI announcements,Tech,2025-10-28 13:16:17+00:00,1,positive,1,positive,agree,,
The Verge,Rivian CEO: ‘We’re really convicted’ about skipping CarPlay,Tech,2025-10-06 13:14:38+00:00,1,positive,1,positive,agree,,
The Verge,Microsoft AI announces first image generator created in-house,Tech,2025-10-13 21:24:05+00:00,1,positive,1,positive,agree,,
The Verge,"Meet Mico, Microsoft’s AI version of Clippy",Tech,2025-10-23 16:00:35+00:00,1,positive,-1,negative,disagree,,
The Verge,Tales from the AI hiring frenzy,Tech,2025-10-03 19:18:43+00:00,-1,negative,-1,negative,agree,,
The Verge,Copilot on Windows can now create Office documents and connect to Gmail,Tech,2025-10-10 09:47:59+00:00,1,positive,-1,negative,disagree,,
The Verge,Samsung Galaxy XR hands-on: It’s like a cheaper Apple Vision Pro and launches today,Tech,2025-10-21 20:50:50+00:00,1,positive,-1,negative,disagree,,
The Verge,Tesla’s Cybercab may have a steering wheel after all,Tech,2025-10-29 15:36:22+00:00,1,positive,-1,negative,disagree,,
The Verge,"Maybe it’s real, maybe it’s Sora",Tech,2025-10-10 13:44:15+00:00,1,positive,1,positive,agree,,
The Verge,OpenAI suspends MLK deepfakes on Sora after ‘disrespectful’ videos,Tech,2025-10-17 14:28:39+00:00,1,positive,-1,negative,disagree,,
The Verge,OpenAI wasn’t expecting Sora’s copyright drama,Tech,2025-10-08 01:30:34+00:00,0,neutral,-1,negative,disagree,,
The Verge,Canva’s new ‘Creative Operating System’ is actually a marketing workspace,Tech,2025-10-30 17:59:26+00:00,0,neutral,1,positive,disagree,,
Wired,"The Future of AI Filmmaking Is a Parody of the Apocalypse, Made by a Guy Named Josh",Tech,2025-10-07 10:00:00+00:00,1,positive,1,positive,agree,,
Wired,Claude Goes to Therapy,Tech,2025-10-27 10:00:00+00:00,1,positive,-1,negative,disagree,,
Wired,AI’s Next Frontier? An Algorithm for Consciousness,Tech,2025-10-27 10:00:00+00:00,1,positive,1,positive,agree,,
Wired,Divorced? With Kids? And an Impossible Ex? There’s AI for That,Tech,2025-10-27 10:00:00+00:00,1,positive,-1,negative,disagree,,
Wired,AI Is the Bubble to Burst Them All,Tech,2025-10-27 10:00:00+00:00,0,neutral,1,positive,disagree,,
Wired,Ed Zitron Gets Paid to Love AI. He Also Gets Paid to Hate AI,Tech,2025-10-27 10:00:00+00:00,1,positive,1,positive,agree,,
Wired,AI Is Changing What High School STEM Students Study,Tech,2025-10-20 09:30:00+00:00,1,positive,1,positive,agree,,
Wired,AI Is Not God,Tech,2025-10-27 10:00:00+00:00,-1,negative,-1,negative,agree,,
Wired,The AI Industry's Scaling Obsession Is Headed for a Cliff,Tech,2025-10-15 18:00:00+00:00,1,positive,-1,negative,disagree,,
Wired,Rise of the Killer Chatbots,Tech,2025-10-27 10:00:00+00:00,-1,negative,1,positive,disagree,,
Wired,This Startup Wants to Spark a US DeepSeek Moment,Tech,2025-10-08 18:30:00+00:00,1,positive,1,positive,agree,,
Wired,Adobe MAX 2025: All the Top Announcements for Adobe’s Creative Suite,Tech,2025-10-28 12:00:00+00:00,1,positive,1,positive,agree,,
Wired,The Worst Thing About AI Is That People Can’t Shut Up About It,Tech,2025-10-27 10:00:00+00:00,-1,negative,-1,negative,agree,,
Wired,"How to Build an AI Startup: Go Big, Be Strange, Embrace Probable Doom",Tech,2025-10-27 10:00:00+00:00,-1,negative,1,positive,disagree,,
Wired,Can AI Avoid the Enshittification Trap?,Tech,2025-10-17 15:00:00+00:00,-1,negative,-1,negative,agree,,
Wired,The Argument for Letting AI Burn It All Down,Tech,2025-10-27 10:00:00+00:00,1,positive,1,positive,agree,,
Wired,Meta Claims Downloaded Porn at Center of AI Lawsuit Was for ‘Personal Use’,Tech,2025-10-31 18:34:14+00:00,-1,negative,-1,negative,agree,,
Wired,How ByteDance Made China’s Most Popular AI Chatbot,Tech,2025-10-16 16:07:50+00:00,1,positive,1,positive,agree,,
Wired,AI of a Thousand Faces,Tech,2025-10-27 10:00:00+00:00,1,positive,-1,negative,disagree,,
Wired,Why AI Breaks Bad,Tech,2025-10-27 10:00:00+00:00,-1,negative,-1,negative,agree,,
Wired,All Windows 11 PCs Will Get These Advanced Copilot AI Features,Tech,2025-10-16 13:00:00+00:00,1,positive,1,positive,agree,,
Wired,AI and the End of Accents,Tech,2025-10-27 10:00:00+00:00,0,neutral,-1,negative,disagree,,
Wired,Best Windows Laptops (2025): WIRED-Tested Laptops to Buy,Tech,2025-10-13 12:00:00+00:00,1,positive,1,positive,agree,,
Wired,Elon Musk's Grokipedia Pushes Far-Right Talking Points,Tech,2025-10-28 01:22:37+00:00,-1,negative,-1,negative,agree,,
Wired,AI Will Kill the Smartphone—and Maybe the Screen Entirely,Tech,2025-10-27 10:00:00+00:00,-1,negative,-1,negative,agree,,
